,pdbx_caspflag,pdbx_descriptor,title,pdbx_keywords,text,paper_title,pdbx_model_details,pdbx_model_type_details,Hchain,Lchain,antigen_chain,antigen_type,antigen_name,short_header,date,compound,organism,heavy_species,light_species,antigen_species,authors,method,pmid
7TPR,N,,CAMEL NANOBODIES 7A3 AND 8A2 BROADLY NEUTRALIZE SARS-COV-2 VARIANTS,VIRAL PROTEIN/IMMUNE SYSTEM,"NEUTRALIZATION, NANOBODY, VIRAL PROTEIN, VIRAL PROTEIN-IMMUNE SYSTEM COMPLEX",CAMEL NANOBODIES BROADLY NEUTRALIZE SARS-COV-2 VARIANTS,,,H,,B,PROTEIN,SPIKE GLYCOPROTEIN,VIRAL PROTEIN/IMMUNE SYSTEM,04/20/22,CAMEL NANOBODIES 7A3 AND 8A2 BROADLY NEUTRALIZE SARS-COV-2 VARIANTS,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; CAMELUS DROMEDARIUS,CAMELUS DROMEDARIUS,,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS2 ,"BUTAY, K.J., ZHU, J., DANDEY, V.P., HONG, J., KWON, H.J., CHEN, C.Z., DUAN, Z., LI, D., REN, H., LIANG, T., MARTIN, N., ESPOSITO, D., ORTEGA-RODRIGUEZ, U., XU, M., XIE, H., HO, M., CACHAU, R., BORGNIA, M.J.",ELECTRON MICROSCOPY,NONE
6NB3,N,"SPIKE GLYCOPROTEIN, LCA60 LIGHT CHAIN, LCA60 HEAVY CHAIN",MERS-COV COMPLEX WITH HUMAN NEUTRALIZING LCA60 ANTIBODY FAB FRAGMENT (STATE 1),VIRUS,"CORONAVIRUS SPIKE GLYCOPROTEIN, MERS-COV, SARS-COV, HUMAN NEUTRALIZING ANTIBODIES, STRUCTURAL GENOMICS, SEATTLE STRUCTURAL GENOMICS CENTER FOR INFECTIOUS DISEASE, SSGCID, VIRUS",UNEXPECTED RECEPTOR FUNCTIONAL MIMICRY ELUCIDATES ACTIVATION OF CORONAVIRUS FUSION.,,,D,E,A,PROTEIN,SPIKE GLYCOPROTEIN,VIRUS,12/06/18,MERS-COV COMPLEX WITH HUMAN NEUTRALIZING LCA60 ANTIBODY FAB FRAGMENT (STATE 1),MIDDLE EAST RESPIRATORY SYNDROME-RELATED CORONAVIRUS; HOMO SAPIENS,HOMO SAPIENS,HOMO SAPIENS,MIDDLE EAST RESPIRATORY SYNDROME-RELATEDCORONAVIRUS ,"WALLS, A.C., XIONG, X., PARK, Y.J., TORTORICI, M.A., SNIJDER, S., QUISPE, J., CAMERONI, E., GOPAL, R., MIAN, D., LANZAVECCHIA, A., ZAMBON, M., REY, F.A., CORTI, D., VEESLER, D., SEATTLE STRUCTURAL GENOMICS CENTER FOR INFECTIOUS DISEASE (SSGCID)",ELECTRON MICROSCOPY,NONE
7KFV,N,,STRUCTURAL BASIS FOR A GERMLINE-BIASED ANTIBODY RESPONSE TO SARS-COV-2 (RBD:C1A-B12 FAB),IMMUNE SYSTEM/VIRAL PROTEIN,"COVID-19, SARS-COV-2, NEUTRALIZING ANTIBODY, AFFINITY MATURATION, IMMUNE SYSTEM, IMMUNE SYSTEM-VIRAL PROTEIN COMPLEX",MOLECULAR BASIS FOR A GERMLINE-BIASED NEUTRALIZING ANTIBODY RESPONSE TO SARS-COV-2.,,,F,G,E,PROTEIN,SURFACE GLYCOPROTEIN,IMMUNE SYSTEM/VIRAL PROTEIN,10/15/20,STRUCTURAL BASIS FOR A GERMLINE-BIASED ANTIBODY RESPONSE TO SARS-COV-2 (RBD:C1A-B12 FAB),SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS,HOMO SAPIENS,HOMO SAPIENS,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS2 ,"PAN, J., ABRAHAM, J., CLARK, L., CLARK, S.",X-RAY DIFFRACTION,NONE
7D0D,N,"SPIKE GLYCOPROTEIN, LIGHT CHAIN OF FAB, HEAVY CHAIN OF FAB",S PROTEIN OF SARS-COV-2 IN COMPLEX BOUND WITH P5A-3C12_2B,VIRAL PROTEIN/IMMUNE SYSTEM,"SARS-COV-2, SPIKE, ANTIBODY, IMMUNE SYSTEM, VIRAL PROTEIN-IMMUNE SYSTEM COMPLEX",STRUCTURAL BASIS FOR BIVALENT BINDING AND INHIBITION OF SARS-COV-2 INFECTION BY HUMAN POTENT NEUTRALIZING ANTIBODIES.,,,H,L,A,PROTEIN,SPIKE GLYCOPROTEIN,VIRAL PROTEIN/IMMUNE SYSTEM,03/10/21,S PROTEIN OF SARS-COV-2 IN COMPLEX BOUND WITH P5A-3C12_2B,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS,HOMO SAPIENS,HOMO SAPIENS,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS2 ,"YAN, R.H., WANG, R.K., JU, B., YU, J.F., ZHANG, Y.Y., LIU, N., WANG, H.W., WANG, X.Q., ZHANG, L.Q., ZHOU, Q.",ELECTRON MICROSCOPY,NONE
7D0C,N,"SPIKE GLYCOPROTEIN, LIGHT CHAIN OF FAB207, HEAVY CHAIN OF FAB207",S PROTEIN OF SARS-COV-2 IN COMPLEX BOUND WITH P5A-3A1,VIRAL PROTEIN/IMMUNE SYSTEM,"SARS-COV-2, SPIKE, ANTIBODY, IMMUNE SYSTEM, VIRAL PROTEIN-IMMUNE SYSTEM COMPLEX",STRUCTURAL BASIS FOR BIVALENT BINDING AND INHIBITION OF SARS-COV-2 INFECTION BY HUMAN POTENT NEUTRALIZING ANTIBODIES.,,,G,F,C,PROTEIN,SPIKE GLYCOPROTEIN,VIRAL PROTEIN/IMMUNE SYSTEM,03/10/21,S PROTEIN OF SARS-COV-2 IN COMPLEX BOUND WITH P5A-3A1,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS,HOMO SAPIENS,HOMO SAPIENS,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS2 ,"YAN, R.H., WANG, R.K., YU, J.F., ZHANG, Y.Y., LIU, N., WANG, H.W., WANG, X.Q., ZHANG, L.Q., ZHOU, Q.",ELECTRON MICROSCOPY,NONE
7VNE,N,,STRUCTURE OF THE SARS-COV-2 SPIKE GLYCOPROTEIN IN COMPLEX WITH A HUMAN SINGLE DOMAIN ANTIBODY N3113.1 (UUU-STATE),VIRAL PROTEIN,"SARS-COV-2, NANOBODY, ANTIVIRAL PROTEIN, VIRAL PROTEIN",A NON-ACE2 COMPETING HUMAN SINGLE-DOMAIN ANTIBODY CONFERS BROAD NEUTRALIZATION AGAINST SARS-COV-2 AND CIRCULATING VARIANTS.,,,W,,C,PROTEIN,SPIKE GLYCOPROTEIN,VIRAL PROTEIN,11/24/21,STRUCTURE OF THE SARS-COV-2 SPIKE GLYCOPROTEIN IN COMPLEX WITH A HUMAN SINGLE DOMAIN ANTIBODY N3113.1 (UUU-STATE),SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS,HOMO SAPIENS,,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS2 ,"YANG, Z., WANG, Y., KONG, Y., JIN, Y., WU, Y., YING, T.",ELECTRON MICROSCOPY,NONE
4BEL,,"BETA-SECRETASE 2 (E.C.3.4.23.45), XA4813",BACE2 XAPERONE COMPLEX,HYDROLASE/IMMUNE SYSTEM,"HYDROLASE-IMMUNE SYSTEM COMPLEX, NANOBODY","MAPPING THE CONFORMATIONAL SPACE ACCESSIBLE TO BACE2 USING SURFACE MUTANTS AND CO-CRYSTALS WITH FAB-FRAGMENTS, FYNOMERS, AND XAPERONES",,,D,,A,PROTEIN,BETA-SECRETASE 2,HYDROLASE/IMMUNE SYSTEM,03/11/13,BACE2 XAPERONE COMPLEX,HOMO SAPIENS; LAMA GLAMA,LAMA GLAMA,,HOMO SAPIENS,"BANNER, D.W., KUGLSTATTER, A., BENZ, J., STIHLE, M., RUF, A.",X-RAY DIFFRACTION,NONE
7SOF,N,,SARS-COV-2 S NTD B.1.617.1 KAPPA VARIANT S2X303 LOCAL REFINEMENT,VIRAL PROTEIN/IMMUNE SYSTEM,"KAPPA, SPIKE, ANTIBODY, STRUCTURAL GENOMICS, SEATTLE STRUCTURAL GENOMICS CENTER FOR INFECTIOUS DISEASE, SSGCID, VIRAL PROTEIN-IMMUNE SYSTEM COMPLEX",MOLECULAR BASIS OF IMMUNE EVASION BY THE DELTA AND KAPPA SARS-COV-2 VARIANTS.,,,H,L,A,PROTEIN,SPIKE GLYCOPROTEIN,VIRAL PROTEIN/IMMUNE SYSTEM,01/08/09,SARS-COV-2 S NTD B.1.617.1 KAPPA VARIANT S2X303 LOCAL REFINEMENT,HOMO SAPIENS; SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2,HOMO SAPIENS,HOMO SAPIENS,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS2 ,"MCCALLUM, M., VEESLER, D., SEATTLE STRUCTURAL GENOMICS CENTER FOR INFECTIOUS DISEASE (SSGCID)",ELECTRON MICROSCOPY,NONE
7X6A,N,,SARS-COV-2 BA.2 VARIANT SPIKE PROTEIN IN COMPLEX WITH FAB BD55-5840,VIRAL PROTEIN/IMMUNE SYSTEM,"SARS-COV-2, OMICRON, SPIKE-FAB COMPLEX, VIRAL PROTEIN, VIRAL PROTEIN-IMMUNE SYSTEM COMPLEX","BA.2.12.1, BA.4 AND BA.5 ESCAPE ANTIBODIES ELICITED BY OMICRON INFECTION.",,,G,J,D,PROTEIN,SPIKE GLYCOPROTEIN,VIRAL PROTEIN/IMMUNE SYSTEM,07/13/22,SARS-COV-2 BA.2 VARIANT SPIKE PROTEIN IN COMPLEX WITH FAB BD55-5840,HOMO SAPIENS; SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2,HOMO SAPIENS,HOMO SAPIENS,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS2 ,"WANG, X., WANG, L.",ELECTRON MICROSCOPY,NONE
7R6X,N,,"SARS-COV-2 SPIKE RECEPTOR-BINDING DOMAIN (RBD) IN COMPLEX WITH S2E12 FAB, S309 FAB, AND S304 FAB",VIRAL PROTEIN/IMMUNE SYSTEM,"COVID-19, SARS-COV-2, NEUTRALIZING MONOCLONAL ANTIBODY, VIRAL PROTEIN-IMMUNE SYSTEM COMPLEX",SARS-COV-2 RBD ANTIBODIES THAT MAXIMIZE BREADTH AND RESISTANCE TO ESCAPE.,,,A,B,R,PROTEIN,SPIKE PROTEIN S1,VIRAL PROTEIN/IMMUNE SYSTEM,07/21/21,"SARS-COV-2 SPIKE RECEPTOR-BINDING DOMAIN (RBD) IN COMPLEX WITH S2E12 FAB, S309 FAB, AND S304 FAB",HOMO SAPIENS; SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2,HOMO SAPIENS,HOMO SAPIENS,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS2 ,"SNELL, G., CZUDNOCHOWSKI, N., CROLL, T.I., NIX, J.C., CORTI, D., CAMERONI, E., PINTO, D., BELTRAMELLO, M.",X-RAY DIFFRACTION,NONE
7N3C,N,,CRYSTAL STRUCTURE OF HUMAN FAB S24-202 IN THE COMPLEX WITH THE N-TERMINAL DOMAIN OF NUCLEOCAPSID PROTEIN FROM SARS COV-2,VIRAL PROTEIN,"SARS CORONAVIRUS 2, NUCLEOCAPSID PROTEIN, HUMAN ANTIBODY FAB, COVID-19, STRUCTURAL GENOMICS, CENTER FOR STRUCTURAL GENOMICS OF INFECTIOUS DISEASES, CSGID, VIRAL PROTEIN",CRYSTAL STRUCTURE OF HUMAN FAB S24-202 IN THE COMPLEX WITH THE N-TERMINAL DOMAIN OF NUCLEOCAPSID PROTEIN FROM SARS COV-2,,,H,L,C,PROTEIN,NUCLEOPROTEIN,VIRAL PROTEIN,07/07/21,CRYSTAL STRUCTURE OF HUMAN FAB S24-202 IN THE COMPLEX WITH THE N-TEMINAL DOMAIN OF NUCLEOCAPSID PROTEIN FROM SARS COV-2,HOMO SAPIENS; SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2,HOMO SAPIENS,HOMO SAPIENS,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS2 ,"KIM, Y., MALTSEVA, N., TESAR, C., JEDRZEJCZAK, R., DUGAN, H., STAMPER, C., WILSON, P., JOACHIMIAK, A., CENTER FOR STRUCTURAL GENOMICS OF INFECTIOUS DISEASES (CSGID)",X-RAY DIFFRACTION,NONE
7E23,N,"SPIKE PROTEIN S1, CA521 HEAVY CHAIN, CA521 LIGHT CHAIN",SARS-COV-2 SPIKE IN COMPLEX WITH THE CA521 NEUTRALIZING ANTIBODY FAB (FOCUSED REFINEMENT ON FAB-RBD),VIRAL PROTEIN,"SPIKE, SARS-COV-2, ANTIBODY, VIRAL PROTEIN",STRUCTURE AND FUNCTION ANALYSIS OF A POTENT HUMAN NEUTRALIZING ANTIBODY CA521 FALA AGAINST SARS-COV-2.,,,B,C,A,PROTEIN,SPIKE PROTEIN S1,VIRAL PROTEIN,05/05/21,SARS-COV-2 SPIKE IN COMPLEX WITH THE CA521 NEUTRALIZING ANTIBODY FAB (FOCUSED REFINEMENT ON FAB-RBD),SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS,HOMO SAPIENS,HOMO SAPIENS,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS2 ,"LIU, C., SONG, D., DOU, C.",ELECTRON MICROSCOPY,NONE
8DAO,N,,CRYSTAL STRUCTURE OF SARS-COV-2 SPIKE STEM FUSION PEPTIDE IN COMPLEX WITH NEUTRALIZING ANTIBODY COV44-79,IMMUNE SYSTEM,"SARS-COV-2, CORONAVIRUS, ANTIBODY, FUSION PEPTIDE, NEUTRALIZING ANTIBODY, COVID-19, IMMUNE SYSTEM",BROADLY NEUTRALIZING ANTIBODIES TARGET THE CORONAVIRUS FUSION PEPTIDE.,,,C,D,I,PEPTIDE,SPIKE PROTEIN S2 FUSION PEPTIDE,IMMUNE SYSTEM,07/27/22,CRYSTAL STRUCTURE OF SARS-COV-2 SPIKE STEM FUSION PEPTIDE IN COMPLEX WITH NEUTRALIZING ANTIBODY COV44-79,HOMO SAPIENS; SYNTHETIC CONSTRUCT,HOMO SAPIENS,HOMO SAPIENS,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS2 ,"LIN, T.H., LEE, C.C.D., YUAN, M., WILSON, I.A.",X-RAY DIFFRACTION,NONE
7MZM,N,,SARS-COV-2 RECEPTOR BINDING DOMAIN BOUND TO FAB PDI 215,VIRAL PROTEIN,"SARS-COV-2, SPIKE, RBD, HUMAN ANTIBODY, VIRAL PROTEIN",LANDSCAPE OF HUMAN ANTIBODY RECOGNITION OF THE SARS-COV-2 RECEPTOR BINDING DOMAIN.,,,H,L,A,PROTEIN,SPIKE PROTEIN S1,VIRAL PROTEIN,10/06/21,SARS-COV-2 RECEPTOR BINDING DOMAIN BOUND TO FAB PDI 215,HOMO SAPIENS; SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2,HOMO SAPIENS,HOMO SAPIENS,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS2 ,"PYMM, P., DIETRICH, M.H., TAN, L.L., CHAN, L.J., THAM, W.H.",X-RAY DIFFRACTION,NONE
7LXW,N,"S2X333 FAB LIGHT CHAIN VARIABLE REGION, S2X333 FAB HEAVY CHAIN VARIABLE REGION, SPIKE GLYCOPROTEIN",SARS-COV-2 S/S2M11/S2X333 LOCAL REFINEMENT,VIRAL PROTEIN/IMMUNE SYSTEM,"ANTIBODY, VIRAL PROTEIN, STRUCTURAL GENOMICS, STRUCTURAL GENOMICS CONSORTIUM, SGC, SEATTLE STRUCTURAL GENOMICS CENTER FOR INFECTIOUS DISEASE, SSGCID, VIRAL PROTEIN-IMMUNE SYSTEM COMPLEX",N-TERMINAL DOMAIN ANTIGENIC MAPPING REVEALS A SITE OF VULNERABILITY FOR SARS-COV-2.,,,H,L,A,PROTEIN,SPIKE GLYCOPROTEIN,VIRAL PROTEIN/IMMUNE SYSTEM,04/14/21,SARS-COV-2 S/S2M11/S2X333 LOCAL REFINEMENT,HOMO SAPIENS; SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2,HOMO SAPIENS,HOMO SAPIENS,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS2 ,"MCCALLUM, M., VEESLER, D., SEATTLE STRUCTURAL GENOMICS CENTER FOR INFECTIOUS DISEASE (SSGCID)",ELECTRON MICROSCOPY,NONE
5N09,N,,CRYSTAL STRUCTURE OF L107C/A313C COVALENTLY LINKED DENGUE 2 VIRUS ENVELOPE GLYCOPROTEIN DIMER IN COMPLEX WITH THE FAB FRAGMENT OF THE BROADLY NEUTRALIZING HUMAN ANTIBODY EDE2 A11,IMMUNE SYSTEM/VIRAL PROTEIN,"IMMUNE SYSTEM-VIRAL PROTEIN COMPLEX, VIRAL PROTEIN, MEMBRANE FUSION, CLASS 2 FUSION PROTEIN, DENGUE VIRUS, BROADLY NEUTRALIZING ANTIBODY, FAB FRAGMENT",COVALENTLY LINKED DENGUE VIRUS ENVELOPE GLYCOPROTEIN DIMERS REDUCE EXPOSURE OF THE IMMUNODOMINANT FUSION LOOP EPITOPE.,,,I,M,B,PROTEIN,ENVELOPE GLYCOPROTEIN E,IMMUNE SYSTEM/VIRAL PROTEIN,02/02/17,CRYSTAL STRUCTURE OF L107C/A313C COVALENTLY LINKED DENGUE 2 VIRUS ENVELOPE GLYCOPROTEIN DIMER IN COMPLEX WITH THE FAB FRAGMENT OF THE BROADLY NEUTRALIZING HUMAN ANTIBODY EDE2 A11,HOMO SAPIENS; DENGUE VIRUS 2,HOMO SAPIENS,HOMO SAPIENS,DENGUE VIRUS 2,"DUQUERROY, S., ROUVINSKI, A., GUARDADO-CALVO, P., VANEY, M.-C., SHARMA, A., REY, F.",X-RAY DIFFRACTION,NONE
6NB5,N,THE ANTIGEN-BINDING (FAB) FRAGMENT,CRYSTAL STRUCTURE OF ANTI- MERS-COV HUMAN NEUTRALIZING LCA60 ANTIBODY FAB FRAGMENT,IMMUNE SYSTEM,"FAB, CORONAVIRUS, MERS-COV, GLYCOPROTEIN, STRUCTURAL GENOMICS, SEATTLE STRUCTURAL GENOMICS CENTER FOR INFECTIOUS DISEASE, SSGCID, IMMUNE SYSTEM",UNEXPECTED RECEPTOR FUNCTIONAL MIMICRY ELUCIDATES ACTIVATION OF CORONAVIRUS FUSION.,,,I,M,,,,IMMUNE SYSTEM,12/06/18,CRYSTAL STRUCTURE OF ANTI- MERS-COV HUMAN NEUTRALIZING LCA60 ANTIBODY FAB FRAGMENT,HOMO SAPIENS,HOMO SAPIENS,HOMO SAPIENS,,"WALLS, A.J., XIONG, X., PARK, Y.J., TORTORICI, M.A., SNIJDER, J., QUISPE, J., CAMERONI, E., GOPAL, R., DAI, M., LANZAVECCHIA, A., ZAMBON, M., REY, F.A., CORTI, D., VEESLER, D., SEATTLE STRUCTURAL GENOMICS CENTER FOR INFECTIOUS DISEASE (SSGCID)",X-RAY DIFFRACTION,NONE
8CWV,N,,CRYSTAL STRUCTURE OF SARS-COV-2 SPIKE PROTEIN RECEPTOR-BINDING DOMAIN IN COMPLEX WITH A CROSS-NEUTRALIZING NANOBODY 2-31 AND A HUMAN ANTIBODY CC12.1 FAB,IMMUNE SYSTEM,"CROSS-NEUTRALIZING ANTIBODY; NANOBODY; SARS-COV-2; SARBECOVIRUS; IMMUNE SYSTEM; VHH; CC12.1, IMMUNE SYSTEM",SUPERIMMUNITY BY PAN-SARBECOVIRUS NANOBODIES.,,,H,L,A,PROTEIN,SPIKE PROTEIN S1,IMMUNE SYSTEM,07/06/22,CRYSTAL STRUCTURE OF SARS-COV-2 SPIKE PROTEIN RECEPTOR-BINDING DOMAIN IN COMPLEX WITH A CROSS-NEUTRALIZING NANOBODY 2-31 AND A HUMAN ANTIBODY CC12.1 FAB,HOMO SAPIENS; LAMA GLAMA; SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2,HOMO SAPIENS,HOMO SAPIENS,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS2 ,"LIU, H., WILSON, I.A.",X-RAY DIFFRACTION,NONE
7LJR,N,SPIKE GLYCOPROTEIN,SARS-COV-2 SPIKE PROTEIN TRIMER BOUND TO DH1043 FAB,VIRAL PROTEIN/IMMUNE SYSTEM,"SARS-COV-2 SPIKE PROTEIN TRIMER, VIRAL PROTEIN-IMMUNE SYSTEM COMPLEX",THE FUNCTIONS OF SARS-COV-2 NEUTRALIZING AND INFECTION-ENHANCING ANTIBODIES IN VITRO AND IN MICE AND NONHUMAN PRIMATES.,,,S,T,A,PROTEIN,SPIKE GLYCOPROTEIN,VIRAL PROTEIN/IMMUNE SYSTEM,03/31/21,SARS-COV-2 SPIKE PROTEIN TRIMER BOUND TO DH1043 FAB,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS,HOMO SAPIENS,HOMO SAPIENS,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS2 ,"GOBEIL, S., ACHARYA, P.",ELECTRON MICROSCOPY,NONE
7ZXU,N,,SARS-COV-2 OMICRON BA.4/5 RBD IN COMPLEX WITH BETA-27 FAB AND C1 NANOBODY,VIRAL PROTEIN,"SARS-COV-2, OMICRON BA.4, BA.5, RBD, ANTIBODY, FAB, BETA-27, VIRAL PROTEIN/IMMUNE SYSTEM, VIRAL PROTEIN",ANTIBODY ESCAPE OF SARS-COV-2 OMICRON BA.4 AND BA.5 FROM VACCINE AND BA.1 SERUM.,,,A,,E,PROTEIN,SPIKE PROTEIN S1,VIRAL PROTEIN,06/29/22,SARS-COV-2 OMICRON BA.4/5 RBD IN COMPLEX WITH BETA-27 FAB AND C1 NANOBODY,HOMO SAPIENS; LAMA GLAMA; SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2,LAMA GLAMA,,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS2 ,"HUO, J., ZHOU, D., REN, J., STUART, D.I.",X-RAY DIFFRACTION,NONE
7PS3,N,,CRYSTAL STRUCTURE OF ANTIBODY BETA-32 FAB,VIRAL PROTEIN,"SARS-COV-2 B.1.1.7 (ALPHA) VARIANT, B.1.351 (BETA) VARIANT, P.1 (GAMMA) VARIANT, B.1.617.2 (DELTA) VARIANT, ANTIBODY, RECEPTOR-BINDING-DOMAIN, SPIKE, NEUTRALISATION, VIRAL PROTEIN/IMMUNE SYSTEM, VIRAL PROTEIN, IMMUNE SYSTEM, VIRAL PROTEIN-IMMUNE SYSTEM COMPLEX",THE ANTIBODY RESPONSE TO SARS-COV-2 BETA UNDERSCORES THE ANTIGENIC DISTANCE TO OTHER VARIANTS.,,,H,L,,,,VIRAL PROTEIN,12/15/21,CRYSTAL STRUCTURE OF ANTIBODY BETA-32 FAB,HOMO SAPIENS,HOMO SAPIENS,HOMO SAPIENS,,"ZHOU, D., REN, J., STUART, D.I.",X-RAY DIFFRACTION,NONE
7K8X,N,"SPIKE GLYCOPROTEIN, C121 FAB HEAVY CHAIN, C121 FAB LIGHT CHAIN","STRUCTURE OF THE SARS-COV-2 S 2P TRIMER IN COMPLEX WITH THE HUMAN NEUTRALIZING ANTIBODY FAB FRAGMENT, C121 (STATE 1)",VIRAL PROTEIN/IMMUNE SYSTEM,"SARS-COV-2, SPIKE GLYCOPROTEIN, COVID-19, MONOCLONAL ANTIBODY, NEUTRALIZING ANTIBODY, PROTEIN-IMMUNE SYSTEM COMPLEX, VIRAL PROTEIN-IMMUNE SYSTEM COMPLEX",SARS-COV-2 NEUTRALIZING ANTIBODY STRUCTURES INFORM THERAPEUTIC STRATEGIES.,,,D,F,B | C,PROTEIN | PROTEIN,SPIKE GLYCOPROTEIN | SPIKE GLYCOPROTEIN,VIRAL PROTEIN/IMMUNE SYSTEM,09/27/20,"STRUCTURE OF THE SARS-COV-2 S 2P TRIMER IN COMPLEX WITH THE HUMAN NEUTRALIZING ANTIBODY FAB FRAGMENT, C121 (STATE 1)",SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS,HOMO SAPIENS,HOMO SAPIENS,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS2  | SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS2 ,"ABERNATHY, M.E., BARNES, C.O., BJORKMAN, P.J.",ELECTRON MICROSCOPY,NONE
7S6J,N,,J08 FRAGMENT ANTIGEN BINDING IN COMPLEX WITH SARS-COV-2-6P-MUT2 S PROTEIN (CONFORMATION 1),VIRAL PROTEIN/IMMUNE SYSTEM,"COVID, SARS, COV-2, VIRAL GLYCOPROTEIN, SPIKE, STABILIZING MUTATIONS, CORONAVIRUS, ULTRAPOTENT ANTIBODY, NEUTRALIZING ANTIBODY, VIRAL PROTEIN, VIRAL PROTEIN-IMMUNE SYSTEM COMPLEX",STRUCTURAL INSIGHTS OF A HIGHLY POTENT PAN-NEUTRALIZING SARS-COV-2 HUMAN MONOCLONAL ANTIBODY.,,,C,D,B,PROTEIN,SPIKE GLYCOPROTEIN,VIRAL PROTEIN/IMMUNE SYSTEM,05/11/22,J08 FRAGMENT ANTIGEN BINDING IN COMPLEX WITH SARS-COV-2-6P-MUT2 S PROTEIN (CONFORMATION 1),SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS,HOMO SAPIENS,HOMO SAPIENS,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS2 ,"OZOROWSKI, G., TORRES, J.L., WARD, A.B.",ELECTRON MICROSCOPY,NONE
7KKJ,N,SYNTHETIC NANOBODY MNB6,STRUCTURE OF ANTI-SARS-COV-2 SPIKE NANOBODY MNB6,IMMUNE SYSTEM,"COMPLEX, NANOBODY, VHH, IMMUNE SYSTEM",AN ULTRAPOTENT SYNTHETIC NANOBODY NEUTRALIZES SARS-COV-2 BY STABILIZING INACTIVE SPIKE.,,,A,,,,,IMMUNE SYSTEM,10/27/20,STRUCTURE OF ANTI-SARS-COV-2 SPIKE NANOBODY MNB6,SYNTHETIC CONSTRUCT,SYNTHETIC CONSTRUCT,,,"SCHOOF, M.S., FAUST, B.F., SAUNDERS, R.A., SANGWAN, S., REZELJ, V., HOPPE, N., BOONE, M., BILLESBOELLE, C.B., PUCHADES, C., AZUMAYA, C.M., KRATOCHVIL, H.T., ZIMANYI, M., DESPHANDE, I., LIANG, J., DICKINSON, S., NGUYEN, H.C., CHIO, C.M., MERZ, G.E., THOMPSON, M.C., DIWANJI, D., SCHAEFER, K., ANAND, A.A., DOBZINSKI, N., ZHA, B.S., SIMONEAU, C.R., LEON, K., WHITE, K.M., CHIO, U.S., GUPTA, M., JIN, M., LI, F., LIU, Y., ZHANG, K., BULKLEY, D., SUN, M., SMITH, A.M., RIZO, A.N., MOSS, F., BRILOT, A.F., POURMAL, S., TRENKER, R., POSPIECH, T., GUPTA, S., BARSI-RHYNE, B., BELYY, V., BARILE-HILL, A.W., NOCK, S., LIU, Y., KROGAN, N.J., RALSTON, C.Y., SWANEY, D.L., GARCIA-SASTRE, A., OTT, M., VIGNUZZI, M., WALTER, P., MANGLIK, A., QCRG STRUCTURAL BIOLOGY CONSORTIUM",X-RAY DIFFRACTION,NONE
